,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
3658,3658,68128148,2017-06-10 18:40:00,1231 S STATE ST,2133fc8d20da7daa182aef3d849ad42d6815688d2cf21f23a30e85b12e0504b7,IL,PAS,607067194.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,145,CPD-Other,AUDI,60,120,0.0,60.0,Paid,2017-09-11 00:00:00,DETR,,5181978280,19695,"1200 s state st, chicago, il",60605,41.86655111518263,-87.62730415511592
3659,3659,67816199,2017-06-10 18:40:00,2147 S PULASKI RD,9014c87e8f1dcef8aa3675beaa701623728d0f136c99d545b05e0ac49b022e74,IL,PAS,606232523.0,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,10,CPD,SATR,100,200,244.0,0.0,Notice,2017-06-22 00:00:00,FINL,,5204211850,6256,"2100 s pulaski rd, chicago, il",60623,41.85208776152885,-87.72470823503207
3660,3660,67954920,2017-06-10 18:41:00,33 N LASALLE,de2913253302d1fa3a598e2a19d739487f767d281678456c36ffa4d675373d66,IL,PAS,604191906.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,HYUN,100,200,0.0,244.0,Paid,2018-03-17 00:00:00,FINL,,5206575480,332,"1 n lasalle, chicago, il",60602,41.88284220483004,-87.63240319507786
3661,3661,9191910271,2017-06-10 18:41:00,22 E CHICAGO AV,2e0df44abdf1d052e315efe420606af7486828315fa9e868bb0e97a432500447,IL,PAS,627118263.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502,DOF,TOYT,65,130,158.6,0.0,Notice,2017-06-15 00:00:00,FINL,,5147345220,1623,"1 e chicago av, chicago, il",60611,41.89677797413684,-87.62739661206841
3662,3662,67879878,2017-06-10 18:41:00,6300 S HAYES DR,c6cd28539839812a6f4aa4673a87ea5651c1dc3b54da0f699709b2c7e8e60ccf,IL,PAS,600773039.0,0964200B,PARK OUTSIDE METERED SPACE,3,CPD,NISS,50,100,0.0,50.0,Paid,2017-07-11 00:00:00,VIOL,,5171796870,12398,"6300 s hayes dr, chicago, il",60637,41.78011719194562,-87.57835506985228
3663,3663,67727794,2017-06-10 18:42:00,8331 S STEWART,2fe0766a0b659c4eed34241a0f1a448e1a33a471a5561b2f8a988fefe8f1acbd,IL,PAS,606151925.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,6,CPD,MERZ,60,120,0.0,120.0,Paid,2017-09-04 00:00:00,FINL,,5201270630,14631,"8300 s stewart, chicago, il",60620,41.7418279730798,-87.6340231572803
3664,3664,9191112991,2017-06-10 18:42:00,1617 N WELLS ST,90354ffc09b00bed7f69a8df2e0528bae9dd77fec7f3872606a921f57afcd2d7,WI,PAS,532234955.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,50,100,0.0,50.0,Paid,2017-06-14 00:00:00,,,5205844450,1468,"1600 n wells st, chicago, il",60614,41.911668031363604,-87.63469259625519
3665,3665,68180905,2017-06-10 18:42:00,6501 S KING DR,ea87eef3ca5419cb36f34866f851a50eecf9dfdfc3bbe30424b5570b876162b6,IL,PAS,60649.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,3,CPD,CHEV,60,120,0.0,60.0,Paid,2017-08-27 00:00:00,DETR,,5192590920,18472,"6500 s king dr, chicago, il",60637,41.77644328282071,-87.61549217343779
3666,3666,65351194,2017-06-10 18:42:00,4725 S WOOD ST,9aa150fa5fd46b0532c62c9122a1124b1b1a1050e37fed4d1ec45e6dc8decd9f,IL,PAS,60617.0,0964130A,PARK ALLEY,311,CPD-Other,DODG,150,300,366.0,0.0,Notice,2017-06-22 00:00:00,SEIZ,,5205918090,12846,"4700 s wood st, chicago, il",60609,41.80779270161305,-87.66975270430143
3667,3667,68036755,2017-06-10 18:43:00,6911 S ARTESIAN,b7ab6fb127daf03c77bca530ba8ab1b99039ac1dbbd587c6df6c2ea8bd1a3feb,IL,PAS,606211108.0,0964110A,DOUBLE PARKING OR STANDING,8,CPD,JEEP,100,200,0.0,100.0,Paid,2017-07-07 00:00:00,,,5176986450,14138,"6900 s artesian, chicago, il",60629,41.76792441289746,-87.68450483375244
3668,3668,9191910272,2017-06-10 18:43:00,801 N WABASH AV,701334c441b0437a7364d1961481ddb813585c01f08c59d472034f3dff21b833,IL,PAS,606232172.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502,DOF,FORD,65,130,158.6,0.0,Notice,2017-06-15 00:00:00,SEIZ,,5204281930,1623,"800 n wabash av, chicago, il",60611,41.896980366639724,-87.62680413679405
3669,3669,67991612,2017-06-10 18:44:00,201 S RACINE,2b66178c2b36e4d7ec4197f9fb9e7a382664d8733d7dbf3a8c3ce9ea2d51d53a,IL,PAS,606231703.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,12,CPD,NISS,75,150,0.0,75.0,Paid,2017-08-21 00:00:00,DETR,,5175630340,14298,"200 s racine, chicago, il",60607,41.878996561822966,-87.65702037958242
3670,3670,67991611,2017-06-10 18:44:00,201 S RACINE,2b66178c2b36e4d7ec4197f9fb9e7a382664d8733d7dbf3a8c3ce9ea2d51d53a,IL,PAS,606231703.0,0964100A,WITHIN 15' OF FIRE HYDRANT,12,CPD,NISS,150,300,0.0,366.0,Paid,2018-03-19 00:00:00,SEIZ,,5175630340,14298,"200 s racine, chicago, il",60607,41.878996561822966,-87.65702037958242
3671,3671,9191871060,2017-06-10 18:45:00,2923 S CALIFORNIA BLVD,8f585ced7ad837fa319d3b0ef385466614ab7c889927a10e3be943b791addde7,IL,PAS,60610.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,CHEV,50,100,122.0,0.0,Notice,2017-10-02 00:00:00,DLS,,5202972060,1465,"2900 s california blvd, chicago, il",60608,41.83965654792916,-87.69416547444315
3672,3672,9191112992,2017-06-10 18:45:00,1619 N WELLS ST,88e42b914c8bab8fcba10d61689d84901102125ce913b264aca9c5a1dcfbd191,IL,PAS,,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,LINC,50,100,0.0,50.0,Paid,2017-06-13 00:00:00,,,0,1468,"1600 n wells st, chicago, il",60614,41.91184607726238,-87.63467834932396
3673,3673,67978921,2017-06-10 18:45:00,2400 S KEDVALE,dd6dad75842c92902022442fe6338fc39d96005fa47441ede7af4e488a138363,IL,PAS,606233615.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,10,CPD,CHEV,60,120,146.4,0.0,Notice,2017-06-22 00:00:00,SEIZ,,5186113110,12091,"2400 s kedvale, chicago, il",60623,41.84784271588398,-87.72795883414982
